,title,content
60,Kb국민카드 체크카드소액신용 신청이 안돼는데 혹시 후불교통카드연체때문에 안될수도있나요??,
61,kb 국민카드 체크카드 이용하는데요ㅠㅠ 지금 들어있는 돈은 6만원인데 17000원 결제할려하는데 한도초과라고 뜨네요ㅠㅠ 그리고 고객센터에 전화해보니까 들어간 돈만큼 쓸수있는 한도라고 하던데ㅠㅠ 다시 해봐도 한도초과 나오네요ㅠㅠ 왜그럴까요ㅠㅠ?,
62,국민 나라사랑카드 체크카드 소액신용서비스를,이용중인데 안에 잔고가 0원이어도 쇼핑몰에서 신용카드 란에 소액신용서비스를이용중인 이카드를 입력해도 구입가능한가요??
63,국민카드 체크카드 소액 신용결제 서비스 신청이 된건가요? 주말인데 신청이 바로되네요 바로 사용할수잇나요?,
64,Kb 국민카드 체크소액결제(하이브리드) 30만원 한도 사용하고 있는데 오늘이 결제일이여서 국민카드앱으로 294000 결제했어요. 근데 20분 뒤에 남은 95000원도 빠져 나가서 0원이 됐어요. 국민카드 앱을 보니 수납과잉금이라고 -95921 원이라고 써져있네요 이건 무슨 상황이죠?? 내공 100,
65,채택진짜 빨라요!! 국민카드 체크카드랑 신용카드 둘다 있으면,할인혜택 같은거 있나요?
66,"제가 국민카드 체크카드소액결제서비스를 오늘 신청했는데요
국민카드는 결제일 늦춤으로 결제일을 다음달로 늦추는게 가능하다고 들었는데
서비스 신청하자마자 늦출 수도 있나요?",
67,국민카드 이지홈카드 체크결제,이지홈카드 사용중인데 통장에 잔고가 있음에도 신용으로 긁히던데 체크로 안 긁히나요? 전에 사용하던 잇스타일 카드는 있는 잔고 다 사용 후 신용으로 긁히던데 왜 다른거죠?
68,KB국민카드체크카드를 분실해서 재발급신청을넣었는데요 집으로 배송해주신데요 평균 소요기간이 어느정도될까요? 재발급 자택으로 받으신분 계신가요?,
69,"신용불량자인데 국민행복카드 체크카드
발급신청해놨는데 집으로배송오면 카드등록하고 사용가능한가요?? 안긁히는거아닌가요ㅠㅠ",
70,"나라사랑카드 국민카드체크카드

국민은행체크카드만들었는데 은행에서 나라사랑카드랑 체크카드랑 2개를 연동해준다고했는데 체크카드에다가 돈을넣었는데 나라사랑카드계좌에 돈이 그대로있더라구요
그래서 그런데 체크카드는 말그대로 입출금만가능하고 나라사랑카드는 후불교통입출금 가능한거맞죠?? 그리고 다른사람이 저한테 돈을 보낸다하면 나라사랑카드계좌말고
체크카드 계좌로 돈을 보내면 어떻게되나요??",
71,국민은행 마스터카드(체크카드) 해외사용 가능여부.,"1. 국민은행 체크카드에 마스터카드 로고가 써져있는데 이건 따로 은행에 신청하지 않고도 해외에서 사용가능한지 궁금합니다.

2. 해외원화결제 서비스 차단해뒀는데 해외에서 사용하는거에 제한이 생기거나 문제가 발생하진 않나요??"
72,안녕하세요 제가 국민카드 체크 소액신용서비스 이용중입니다. 제가 급여날짜가 변경되어 원래 12월22일날 결제 일인데 1/5일날 낼수잇을거같아서요 5영업일 지나서 타사공유되서 정지되는것도 알고있습니다. 혹시 미납이 오래되서 체크소액기능을 못할수도 있나요ㅠㅠㅠ? 제가 급히 써야되는부분이있어서요 내공 겁니다,
73,KB국민카드 체크카드 해외결제 하면 고지서 날아가나요?ㅠㅠ,"KB국민카드 체크카드 해외결제 하면 고지서 집에 날아오나요?ㅠㅠ
참고로 은행에서 만들때 그런 사항을 적은적이없어서요..그럼 안나가죠??"
74,국민카드 체크카드랑 후불버스카드 같이 되는건데 후불버스요금은 납부 방법이 뭔가요?,
75,국민카드 체크 카드요 잔액 얼마 남 았는지 볼려면요 어떻게 하나요?,
76,국민카드 체크랑 신용카드 겸용 문의,"안녕하세요
제가 예전에 국민 it style 카드를 썼었는데
이게 이제 단종?! 되가지고 카드사에서
가온카드로 바꿔줬어요

근데 사용하고 보니까 이거는 오로지
신용카드용으로만 되더라구요 ㅠㅠ
예전에는 통장에 돈이 있으면 알아서
체크카드처럼 통장에서 빠지고
없으면 신용카드로 빠져나갔는데...

제가 그래서 예전에 썼던 것처럼 체크랑
신용카드 겸용되는 걸 찾고있거든요

지금 신용카드 한도를  400만원으로 늘려놨는데
이거 한도도 그대로 쓸수있는 그런 카드좀 추천해주세요!!"
77,국민은행 오버액션 노리카드 체크카드 이용방법문의요,"고3이고 만18세지나서 카드발급받을때 후불교통카드 신청할거냐해서 했는데
이용료?가있는지
그냥 버스에 찍으면 되는지
돈은 어떻게 내야하는지 알려주세요 ㅠㅠ"
78,스팀 환불 국민카드 체크카드 해외결제,"국민은행 체크카드로 스팀에서 게임3개 구매하고 재미없어서 환불했습니다

환불 완료 안내받았구요 그리고 돈 빨리 입금되면 좋을거같아서 인터넷 뒤적거리다가

카드사에 전화하면 빠르게 처리할수 있다고 해서 전화해서 문의했습니다

그런데 전표미매입 상태이면 결제가 되지 않았을거라며 상담원분이 말씀하셨습니다

그러면 아직 스팀에 돈이 묶여있다는 건가요?? 돈이 지금 어디에 묶여있는건가요??

비자에묶여있는건가요?? 어디로 어떤내용으로 문의를 해야 돈을 빨리 받을수 있을까요??"
79,국민 노리카드 체크카드에서 후불교통카드 돈이 밀렸다가 돈을 냈는데도 교통카드 사용이 안되는데 언제쯤 다시 사용이 가능한가요?,
80,"국민 나라사랑카드 체크카드 사용하는데여
소액신용 30만원도 사용중입니다
실적 30만원이상 다음달 혜택 가능일때
소액신용으로 5만원 사용하고 체크결제로 25만원 사용해도 혜택 받아볼 수 있나여??",
81,"KB국민 노리카드(체크카드) 소액 신용결제 질문있습니다.

잔고가 있음에도 신용결제가 되는 경우가 있나요?
이용대금이 편의점에서 빠져나간 것인데, 제 카드사용내역을 살펴보면 항상 잔고가 넉넉히 있었습니다.

아니라면 이용대금이 왜 빠져나가는 것인지..
교통카드 사용한 적 없구요, 잔고가 0이거나 부족할때 카드결제한 적도 없습니다..

계속 KB 고객센터 연결이 안되어 답답한 마음에 여기에도 질문남깁니다ㅠㅠㅠㅠ..",
82,"국민은행 카드 체크출금계좌, 현금카드","국민은행 카드 신청하려고 하는데
‘체크출금계좌’ 신청여부랑 ‘현금카드’ 신청여부를 묻던데
저 둘이 뭔지 설명 좀 해주세요.

그리고 명세서 받으실곳 선택란하고
체크카드 내역서 받으실곳 선택란이
나뉘어 있던데 이게 뭔 차이인가요?"
83,국민카드 체크카드 로 영화표 구매 할수 있나요 영화관에서요,
84,농협 국민행복카드(체크) 온라인신청했는데 연락언제오나요?,"신청됐다는연락이나 그런거 따로 안오나요?
카드오는데는 얼마나 걸리나요?
카드오고나서 카드등록하면 자동으로 여기에 보육료 들어오나요?(보육료 전환신청은 해놨음)"
85,"국민 아이사랑카드 체크 카드 사용하고 있는데요
혜택이 할인되는것도 있어 일반 마트가서 결제를 그냥 해도 되는건가요? 통장에 잔고를 넣어놔야 하나요?",
86,국민카드 체크카드 소액신용결제 한도30만원 신청을 해뒀는데요 이거는 그냥 카드로 긁을때 밖에 못 쓰나요? 현금화하거나 계좌이체는 불가능한가요?,
87,국민행복카드(체크카드)를 발급받앗는데요 혹시 출금 가능하다면 출금 방법알려주세요!!,
88,"국민행복카드랑 아이행복카드 체크카드로 발급 받았었는데요,일반 체크 카드처럼 돈 넣으면 인터넷 뱅킹이나 다 가능한가요?",
89,"국민카드 체크카드 발급신청을 했는데요
디자인이 제가 마음에 안드는 디자인이라 다른 디자인으로 하고싶은데 취소는 어디서하나요?
취소하고 다시 신청하고싶은데 도와주세요~",
90,"국민카드 체크카드 노리로 멜론 , 지니 결제 가능한가요?",국민카드 체크카드 노리로 멜론 결제 가능한가요?
91,국민카드 체크카드 로 미용실에서 머리 짤를수 있나요?,
92,"국민행복카드 아이행복카드 체크카드
국민행복카드 체크카드 만들려고 하는데요 제가 어제 출산했는데 출산 후엔 발급 못 받나요 ? 그리고 대학병원에서 출산했는데 임신확인서가 따로 없고 출산확인서 이런 거 밖에 안 된다해서 농협에 갔는데 출산확인서는 안 된다던데 어떻게 해야 하는지 자세히 알려주세요 ㅠㅠ 농협 카드가 있어서 농협카드로 만들려구요",
93,KB국민카드 체크 질문,"제가 체크카드 계좌를 국민은행으로 이용하고 있는데 주은행은 신한은행 입니다.

현제 ONE 체크, 카카오페이 체크카드를 이용하고 있는데 결제 계좌를 주은행 신한은행으로 연결해도 카드 혜텍은 동일하나요?

국민은행 계좌보다 신한은행을 결제계좌로 등록하는게 낫겠죠..?

그럼 기존 국민은행 계좌는 어떻해야 하나요..?"
94,국민카드 체크카드 발급 문의,"오버액션 노리 체크카드 디자인이 예뻐서 신청하려고하는데요
플라스틱 디자인 2종인데 한계좌로 2종 모두 발급되는지
2개 계좌로 각각 발급받아야되는지 궁금합니다"
95,국민카드 체크카드 해외겸용 어떻게 생겼나요?,
96,"제가 KB국민카드 체크카드를 쓰다가 분실했는데 토스카드가 있어서 토스머니에 돈을 넣어두고 쓰거든요 .
국민카드는 국민은행에서 국민카드로 현금을 입금한 다음 , 토스로 국민은행 계좌에서 토스 머니로 옮긴다구 쓰는 용도인데 ..
토스머니로 돈을 넣으려고 했는데 국민 카드를 분실해서 국민atm기에서 혹시 카드없이 계좌번호를 통해서 돈을 넣을 수 있는 방법이 없나 싶어서 해봐도 안 되더군요 .. 카드를 재발급 받는 방법밖에 없을까요 ㅠㅠ ?",
97,"Kb국민카드 체크
이번에 일본가서 이 체크카드에 비자를 추가 하고싶은데 전화로 변경할수있을까요??
변경 어떻게 하나요??",
98,토스 kb국민카드 체크카드이자 학생증인데 토스에다가 계좌를치니 예금주가 없다네용 어떻게해야하나요,
99,"국민카드 체크카드를 발급 받고 싶은데요
통장 개설이 까다로워졌잖아요 ㅜㅜㅜㅜ
지금 백수 상태이고 알바도 딱히 하고 있지 않아서요...
그러면 체크카드 발급 못 받나요?ㅜㅜㅜㅜㅜ",
100,국민은행 카드 체크카드 제가 별칭?그런거 한적 없었던거 같은데 만약에 제가 했다면 어디서 그걸 확인할수 있나요?,
101,"국민카드 체크카드 소액신용서비스 사용중인데요
제가 결제일이 매달14일인데 3월달사용금액을 4월14일에 결제하는건데 미리 4월1일에 대금결제를 했어요
그러면 지금부터 쓴 금액은 5월14일에 결제되는게맞나요 아니면 4월14일에 청구되나요?",
102,"제가 국민 나라사랑카드 체크카드로 교통카드처럼 쓰고있는데 시내버스탈때 카드 찍자나요 살짝 떼야되나요?
카드가 인식하는데 한2-3번만에 되던데..
그리고 앞부분 뒷부분 차이있나요?",
103,"kb국민카드 체크신용 결제 혹시 가입하려고 하는데 나이제한이 있는지 제가 현재나이로는 20살이고 만으로는18세입니다 만으로19세가 되면
체크신용결제를 신청할수있나요??",
104,엄마 몰래 국민카드 체크카드 만든거 들킬것 같아요...,"저는 만18세, 19세인데요...엄마 몰래 국민카드 체크카드 만든거 들킬것 같아서 체크카드랑 체크카드 만들 때 같이 만든 통장 없애려고 하는데... 만약 엄마가 은행에 전화하면 제 기록 볼 수 있나요?? 그리고 없앤것도 기록에 남나요??"
105,국민 그린카드 / 체크카드,"국민 그린카드가 체크카드인줄 알았는데 신용/체크 두 가지가 있는 거더라고요 근데 신용카드가 연회비가 0원이던데 백수+학생이 발급받을 수도 있나요? 신용카드이고, 공공에 분류돼있어서 발급 제한이 있는 건지 궁금합니다.

카드를 단기간에 3장 이상 발급 받으면 안 좋다는데 단기간이 어느 정도 기간을 말하나요? 체크카드도 이에 해당되나요?"
106,국민행복카드 체크카드인데 atm기에 넣으면 미등록이라 뜨네요,초반에 하라는 등록은 해놨는데 ... 이거 왜이런건가요?ㅠㅠ 카드에 체크라고 적혀있는데 atm기에서는 미등록 카드라고 떠요..ㅠㅠㅠㅠ 체크카드로 사용하려면 어떻게 등록하나요
107,국민카드 체크카드 소액신용서비스의 사용일 산정이 어떻게 되나요? (ex. 1일~말일),
108,"국민카드 나라사랑카드 체크카드 카드비밀번호 앱인증 오류

엘지페이라든지 다른앱 신용카드 등록할때 카드 비밀번호 치라고 할때 틀렸다고 뜨는데 atm기에서 뽑을때 쓰는 카드비밀번호랑 다른건가요?

그저께도 atm기 가서 돈 출금했는데도 앱에서 치면 자꾸 틀렸다고 나오네요. 어떻게 해야 하나요?",
109,"국민가온올림카드 체크/신용 서비스로 체크카드로도 쓰고, 신용카드로도 쓰고 있었어요
이제 체크/신용 서비스를 해지했는데 그럼 이 카드는 신용카드가 된건가요?
앞으로 사용한 금액은 다음달 결제되는 건가요?",
110,국민은행 통장 기존에 쓰던게 있는데 새로 통장을 만들면 왜 국민카드 체크카드가 기존 통장에서 안나가고 새로 만든통장에서 나가는거죠?,"국민은행 통장 기존에 쓰던게 있는데 새로 통장을 만들면 왜 국민카드 체크카드가 기존 통장에서 안나가고 새로 만든통장에서 나가는거죠?

국민카드 상담사는 원래 시스템이 그렇다는데 원래 다른 은행도 그런가요?

새로 통장 만들면서 새로 체크카드도 만들었는데요 

결국에 새로만든 통장에 체크카드가 두개가 생겨버린 셈인데 이게 원래 시스템이 이런거라면 

그 이유는 뭔지 궁금하네요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ

국민은행 잘 쓰고 있었는데 상담사들도 너무 딱딱하게 얘기하니까 너무 마음이 아프네요 "
111,"삼성페이를 통해 결제하면
국민체크카드 체크할인이 되지않는다거나
일반 국민체크카드로 혜택이 있는부분이 적용이 안된다거나..
있나요
파인테크체크카드입니다",
112,kb국민 나라사랑카드(체크) 연회비 있나요?,"얼마전 은행가서 체크카드 신청을 했는데
오늘 도착한거 보니까 나라사랑카드가 오더라고요
제 나이가 군대 졸업한지 몇년인데 나라사랑카드라니..
그 약관책자를 읽어보니 연회비 항목이 있던데
제가 알기로 나라사랑 카드는 연회비가 없다고 아는데
이젠 나라사랑카드도 연회비가 나오나요?
아니면 제가 군인 신분이 아니라서 연회비 내야하나요?

아, 그리고 제가 군인 신분이 아닌데
나라사랑카드 할인 혜택들 누릴 수 있나요?
cgv35% 할인이라던가 옥션,g마켓 할인이라던가.."
113,국민 마스터카드(체크) 일본에서 사용 가능한가요?,"아직 미성년자이고 국민은행 체크카드 밑에 마스터카드 모양이 있습니다. 전에 해외직구도 이 카드로 했었던 적 있어서 해외에서 사용가능할 것 같았는데, 인터넷 찾아보니 은행에 전화해서 해외결제 신청해야 한다고그러더라구요 당장 다음주 월요일 출국이라 급합니다 ㅜ ㅜ .. 내공 100드려요

마스터카드모양이 있는 카드 일본에서 사용가능 한가요? (신사이바시 쇼핑거리, 돈키호테 등)"
114,국민은행 울라윤드 티타늄카드 체크결제서비스 신청이 불가능 해요?,
115,카드이름:kb국민카드 체크 나라사랑 후불교통카드로돼어잇는데선불로바꾸는법쫌알려주세요,
116,카드이름:kb국민카드 체크 나라사랑 후불교통카드로돼어잇는데선불로바꾸는법쫌알려주세요,
117,국민카드 체크카드 소액신용결제 질문이욤,교통카드 대금 빠져나갈때 계좌에 돈 없으면 소액신용결제처럼 그냥 빠져나가고 담달에 갚나욤?
118,KB국민카드 체크카드 발급하려고 합니다,"안녕하세요 20살 남성인 대학생입니다

사용 용도는 장학금 + 알바비 + 용돈 받은걸 통장에 넣으려고합니다

물론 종이통장에요


한도 최소 1000만원까지 넣을수있을 금액정도의 통장을 만들려고 하는데 필요한서류가 뭐가 필요한지 알려주시면 감사합니다.

내공100"
119,엄마 몰래 국민카드 체크카드 만든거 들킬것 같아요...,"저는 만18세, 19세인데요...엄마 몰래 국민카드 체크카드 만든거 들킬것 같아서 체크카드랑 체크카드 만들 때 같이 만든 통장 없애려고 하는데... 만약 엄마가 은행에 전화하면 제 기록 볼 수 있나요?? 그리고 없앤것도 기록에 남나요??"
120,"국민카드 나라사랑카드 체크카드 카드비밀번호 앱인증 오류

엘지페이라든지 다른앱 신용카드 등록할때 카드 비밀번호 치라고 할때 틀렸다고 뜨는데 atm기에서 뽑을때 쓰는 카드비밀번호랑 다른건가요?

그저께도 atm기 가서 돈 출금했는데도 앱에서 치면 자꾸 틀렸다고 나오네요. 어떻게 해야 하나요?",
