,Unnamed: 0,카페,메뉴,가격,지역,구분
11,11,투썸플레이스 가산디지털점,스트로베리초코생크림,4100,금천구,F
58,58,요거프레소 독산정훈단지점,딸기 생크림 오믈렛(18EA),3500,금천구,F
183,183,잇푸드마켓 케이터링,다과케이터링 set,5000,금천구,P
98,98,탐앤탐스 가산디지털단지역점,청포도 슬러쉬,4100,금천구,P
0,0,스타벅스 금천독산점,골든 세서미 라떼,4100,금천구,F
2,2,스타벅스 가산디지털단지역점,골든 세서미 라떼,4100,금천구,F
7,7,스타벅스 가산디지털점,골든 세서미 라떼,4100,금천구,F
53,53,스타벅스 독산사거리점,골든 세서미 라떼,4100,금천구,F
54,54,스타벅스 가산그레이트점,골든 세서미 라떼,4100,금천구,F
60,60,스타벅스 금천시흥점,골든 세서미 라떼,4100,금천구,F
63,63,스타벅스 가산에스케이점,골든 세서미 라떼,4100,금천구,F
87,87,스타벅스 W-Mall점,골든 세서미 라떼,4100,금천구,F
91,91,스타벅스 마리오아울렛점,골든 세서미 라떼,4100,금천구,F
112,112,스타벅스 가산브이타워점,골든 세서미 라떼,4100,금천구,F
132,132,요거프레소 가산W몰점,흑당 홍차 버블티,5300,금천구,F
88,88,치즈팩토리,베이글 + 아메리카노 1잔,5200,금천구,P
19,19,로드앤커피2.5,아포가또,5000,금천구,P
14,14,커피빈 마리오아울렛점,아메리카노 S,4800,금천구,F
33,33,엔제리너스 롯데센터가산점,아메리카노,4800,금천구,P
34,34,커피빈 시흥홈플러스점,아메리카노 S,4800,금천구,F
129,129,엔제리너스 가산SKV1,아메리카노,4800,금천구,P
114,114,콜롬비아퍼펙토 현대시티아울렛가산점,카페라떼,4700,금천구,P
127,127,토브,바닐라빈라떼,4500,금천구,P
3,3,탐앤탐스커피 금천본점,아메리카노,4100,금천구,P
4,4,할리스커피 가산디지털단지점,카페 아메리카노,4100,금천구,F
10,10,바빈스커피 독산점,아메리카노,4100,금천구,F
16,16,할리스커피 할리스금천점,카페 아메리카노,4100,금천구,F
18,18,커피에반하다 시흥유통상가점,아메리카노,4100,금천구,F
28,28,할리스커피 가산점,카페 아메리카노,4100,금천구,F
42,42,투썸플레이스 시흥사거리점,아메리카노,4100,금천구,F
48,48,투썸플레이스 현대지식산업센터점,아메리카노,4100,금천구,F
51,51,달콤커피 마리오아울렛점,아메리카노,4100,금천구,F
59,59,투썸 금천롯데캐슬골드파크점,아메리카노,4100,금천구,P
65,65,커피에반하다 서울독산초점,아메리카노,4100,금천구,F
68,68,커피에반하다 시흥은행사거리점,아메리카노,4100,금천구,F
76,76,투썸플레이스 가산아울렛점,아메리카노,4100,금천구,F
78,78,투썸플레이스 석수역점,아메리카노,4100,금천구,F
83,83,투썸플레이스 독산사거리점,아메리카노,4100,금천구,F
110,110,투썸플레이스 가산하이엔드점,아메리카노,4100,금천구,F
116,116,투썸플레이스 가산대성디폴리스점,카페 아메리카노,4100,금천구,F
117,117,투썸플레이스 가산로데오점,아메리카노,4100,금천구,F
120,120,투썸플레이스 가산대륭18차점,아메리카노,4100,금천구,F
135,135,토프레소 은행나무사거리점,아메리카노,4100,금천구,F
147,147,가배두림 가산디지털점,커피,4000,금천구,P
30,30,커피베이금천시흥동점,일글리수머핀,3800,금천구,F
46,46,커피에반하다 시흥사거리점,아메리카노,3800,금천구,F
55,55,카페 자작나무,아메리카노,3800,금천구,P
64,64,커피에반하다금천현대시장점,아메리카노,3800,금천구,F
74,74,커피에반하다 가산디지털점,아메리카노,3800,금천구,F
77,77,커피베이 가산3호점,아메리카노,3800,금천구,F
93,93,달콤커피,아메리카노,3800,금천구,F
118,118,카페베네 독산역점,아메리카노,3800,금천구,F
202,202,요거프레소,아메리카노,3800,금천구,F
5,5,모나드 커피로스터스,아메리카노,3500,금천구,P
27,27,커피코트 가산SKV1점,스노우더치,3500,금천구,F
38,38,커피하루,아메리카노,3500,금천구,P
23,23,루나306커피,크림아메리카노,3300,금천구,P
41,41,커피이즈,아메리카노,3300,금천구,P
111,111,카페93로스터스,아메리카노,3300,금천구,P
1,1,커피베이가산직영점,아메리카노,3200,금천구,F
6,6,이디야커피 가산리더스타워점,아메리카노,3200,금천구,P
9,9,이디야커피 독산동점,아메리카노,3200,금천구,P
12,12,티티커피클럽 가산점,아메리카노,3200,금천구,P
13,13,이디야커피 가산SKV1점,아메리카노,3200,금천구,P
20,20,이디야커피 가산그레이트점,아메리카노,3200,금천구,P
22,22,이디야커피 시흥대로점,아메리카노,3200,금천구,P
26,26,이디야커피 가산디지털점,아메리카노,3200,금천구,P
31,31,이디야커피 가산오거리점,카페아메리카노,3200,금천구,P
32,32,이디야커피 세광교회점,아메리카노,3200,금천구,P
35,35,킹스빈커피,아메리카노,3200,금천구,P
37,37,커피팩토리쏘,아메리카노,3200,금천구,P
40,40,온초점,아메리카노,3200,금천구,P
43,43,이디야커피 박미삼거리점,아메리카노,3200,금천구,P
44,44,이디야커피 시흥중앙점,아메리카노,3200,금천구,P
45,45,502coffee,아메리카노,3200,금천구,P
47,47,이디야커피 가산월드점,아메리카노,3200,금천구,P
49,49,이디야커피 시흥유통센터점,아메리카노,3200,금천구,P
50,50,커피팩토리 가산마리오점,아메리카노,3200,금천구,P
52,52,이디야커피 가산대륭19차점,아메리카노,3200,금천구,P
56,56,이디야커피 가산하이엔드10차점,카페아메리카노,3200,금천구,P
67,67,앤커피,아메리카노,3200,금천구,P
70,70,그라인드커피,아메리카노,3200,금천구,P
75,75,커피앤스위트,아메리카노,3200,금천구,P
81,81,노아커피 1호점,아메리카노,3200,금천구,P
82,82,콜레츠커피,아메리카노,3200,금천구,P
86,86,커피이야기,아메리카노,3200,금천구,P
89,89,착한커피 대륭19차점,아메리카노,3200,금천구,P
90,90,에이치더커피,아메리카노,3200,금천구,P
94,94,스위트번스커피,아메리카노,3200,금천구,P
95,95,커피마루,아메리카노,3200,금천구,P
96,96,커피앤스위트,아메리카노,3200,금천구,P
97,97,이디야커피 독산동쌈지공원점,카페 아메리카노,3200,금천구,P
99,99,커피트리,아메리카노,3200,금천구,P
100,100,커피앤,아메리카노,3200,금천구,P
101,101,러브커피,아메리카노,3200,금천구,P
102,102,벨롱커피,아메리카노,3200,금천구,P
103,103,커피트리,아메리카노,3200,금천구,P
104,104,커피마스터클래스,아메리카노,3200,금천구,P
105,105,데스티니커피,아메리카노,3200,금천구,P
106,106,지니커피,아메리카노,3200,금천구,P
107,107,베토벤커피,아메리카노,3200,금천구,P
108,108,미래에서온커피,아메리카노,3200,금천구,P
109,109,아이커피랩,아메리카노,3200,금천구,P
121,121,이디야 가산에이스점,아메리카노,3200,금천구,P
122,122,카페안나,아메리카노,3200,금천구,P
125,125,이디야금천롯데마트점,아메리카노,3200,금천구,P
126,126,좋은공간카페,아메리카노,3200,금천구,P
128,128,비틀주스,아메리카노,3200,금천구,P
133,133,지혜나무,아메리카노,3200,금천구,P
134,134,12st,아메리카노,3200,금천구,P
136,136,카페에이치 현대시티아울렛가산점,아메리카노,3200,금천구,P
138,138,카페7그램LG가산디지털점,아메리카노,3200,금천구,P
140,140,카페430,아메리카노,3200,금천구,P
141,141,카페베키오,아메리카노,3200,금천구,P
146,146,달달보드레 현대아울렛가산점,아메리카노,3200,금천구,P
149,149,매머드익스프레스시흥동점,아메리카노,3200,금천구,P
150,150,카페뜨레비앙,아메리카노,3200,금천구,P
152,152,더카페가산대륭6차점,아메리카노,3200,금천구,P
153,153,카페엘림,아메리카노,3200,금천구,P
154,154,와일드멀블루차,아메리카노,3200,금천구,P
156,156,더카페,아메리카노,3200,금천구,P
157,157,카페 비플러스,아메리카노,3200,금천구,P
158,158,유오디아,아메리카노,3200,금천구,P
159,159,카페 에이엠7:30,아메리카노,3200,금천구,P
160,160,수카페,아메리카노,3200,금천구,P
161,161,카페블러썸,아메리카노,3200,금천구,P
163,163,허니카페,아메리카노,3200,금천구,P
164,164,MKcoffee,아메리카노,3200,금천구,P
165,165,규젤,아메리카노,3200,금천구,P
166,166,엔커피 스타밸리점,아메리카노,3200,금천구,P
167,167,해피베이크,아메리카노,3200,금천구,P
168,168,카페두다트 현대시티아울렛가산점,아메리카노,3200,금천구,P
169,169,미니빈,아메리카노,3200,금천구,P
171,171,란스키친,아메리카노,3200,금천구,P
173,173,스몰타운,아메리카노,3200,금천구,P
174,174,가배두림,아메리카노,3200,금천구,P
175,175,산타모니카까페,아메리카노,3200,금천구,P
176,176,더드림홀딩스,아메리카노,3200,금천구,P
177,177,타미하우스,아메리카노,3200,금천구,P
178,178,코비어,아메리카노,3200,금천구,P
179,179,광환,아메리카노,3200,금천구,P
180,180,너랑나랑카페,아메리카노,3200,금천구,P
181,181,달곰삼삼,아메리카노,3200,금천구,P
182,182,마고스 홈플러스금천점,아메리카노,3200,금천구,P
184,184,카페잉거13독산점,아메리카노,3200,금천구,P
186,186,카페마리오 마리오아울렛2관점,아메리카노,3200,금천구,P
187,187,카페오스,아메리카노,3200,금천구,P
188,188,U블러썸,아메리카노,3200,금천구,P
191,191,비해피,아메리카노,3200,금천구,P
192,192,카페어깨동무,아메리카노,3200,금천구,P
193,193,프라우스타 시흥점,아메리카노,3200,금천구,P
194,194,빈공간,아메리카노,3200,금천구,P
195,195,함께그린카페 가산점,아메리카노,3200,금천구,P
196,196,캐슬카페,아메리카노,3200,금천구,P
197,197,이랜드월드식품더카페가산2호점,아메리카노,3200,금천구,P
198,198,이랜드월드더카페,아메리카노,3200,금천구,P
199,199,CUP,아메리카노,3200,금천구,P
200,200,떼즈블랑카페,아메리카노,3200,금천구,P
201,201,카페클라우즈,아메리카노,3200,금천구,P
203,203,직능소상공인ENT,아메리카노,3200,금천구,P
204,204,카페플로린 홈플러스시흥점,아메리카노,3200,금천구,P
205,205,카와블러썸,아메리카노,3200,금천구,P
207,207,코오롱에스턴까페테리아,아메리카노,3200,금천구,P
209,209,카페드플로르,아메리카노,3200,금천구,P
211,211,더카페,아메리카노,3200,금천구,P
213,213,에스핀,아메리카노,3200,금천구,P
214,214,BERNINI,아메리카노,3200,금천구,P
215,215,카페랄랄라,아메리카노,3200,금천구,P
216,216,AEDA,아메리카노,3200,금천구,P
217,217,산타모니타카페,아메리카노,3200,금천구,P
218,218,스탠다드브루잉,아메리카노,3200,금천구,P
219,219,카페트리니티,아메리카노,3200,금천구,P
92,92,달콩커피,모닝할인(아메리카노+주먹밥),3000,금천구,P
142,142,Cafe Am730,아메리카노,3000,금천구,P
148,148,더카페 kcc 웰츠밸리점,-,3000,금천구,P
185,185,까사데한,takeout 더치아메리카노 1+1,3000,금천구,P
8,8,이디야 시흥동점,아메리카노(ICE&HOT 동일),2800,금천구,P
15,15,만랩커피 가산점,과테말라 SHB 스페셜 블렌드,2800,금천구,F
21,21,이디야커피 은행나무사거리점,아메리카노,2800,금천구,P
25,25,만랩커피 시흥사거리점,과테말라 SHB 스페셜 블랜드,2800,금천구,F
29,29,커피베이 가산대륭20차점,아메리카노,2800,금천구,F
39,39,이디야커피 가산두산위브점,아메리카노,2800,금천구,P
57,57,커피베이 금천독산점,아메리카노 (R),2800,금천구,F
62,62,만랩커피 독산점,과테말라 SHB 스페셜 블렌드,2800,금천구,F
71,71,라시쓰커피,아메리카노,2800,금천구,P
80,80,커피베이 시흥은행나무점,아메리카노,2800,금천구,F
124,124,이디야 시흥사거리점,아메리카노,2800,금천구,P
130,130,토프레소 금천힐스테이트점,아메리카노,2800,금천구,F
131,131,이디야 가산벽산점,아메리카노,2800,금천구,P
24,24,이디야커피 독산롯데시네마점,카페아메리카노,2500,금천구,P
72,72,브루클린커피랩,아메리카노,2500,금천구,P
79,79,커피팜,아메리카노,2500,금천구,P
115,115,여울CAFE,아메리카노,2500,금천구,P
119,119,더카페,"아메리카노(Hot,Ice)",2500,금천구,P
123,123,가비당 새움병원점,아메리카노,2500,금천구,P
151,151,가배팩토리,아메리카노,2500,금천구,P
170,170,더카페 독산점,아메리카노(L),2500,금천구,P
190,190,에블린,아메리카노,2500,금천구,P
206,206,cafe10pm,아메리카노,2500,금천구,P
208,208,아퀴,아메리카노,2500,금천구,P
66,66,커피스멜,아메리카노,2000,금천구,P
69,69,곰탱이커피,아메리카노,2000,금천구,P
84,84,트윈커피,아메리카노,2000,금천구,P
85,85,탭플레이커피 가산팩토리아울렛점,아메리카노,2000,금천구,F
113,113,더리터 시흥사거리점,아메리카노1리터,2000,금천구,F
137,137,더카페 가산이노플렉스점,아메리카노,2000,금천구,P
143,143,더카페 가산 우림점,아메리카노,2000,금천구,P
144,144,클럽바리스타바이삼인,아메리카노,2000,금천구,P
155,155,피플,아메리카노,2000,금천구,P
172,172,니드카페,아메리카노,2000,금천구,P
189,189,라일라,커피,2000,금천구,P
210,210,유키,커피,2000,금천구,P
139,139,포트오브모카 독산점,아메리카노,1900,금천구,P
61,61,킹스빈커피 가산점,아메리카노,1500,금천구,P
162,162,라루,아메리카노(핫),1500,금천구,P
212,212,KIMS COFFEE,아메리카노,1500,금천구,P
17,17,커피코트 가산그레이트밸리점,커피,1000,금천구,F
36,36,커피코트 가산대륭20차점,핫드립골라커피,1000,금천구,F
73,73,커피코트 가산 대륭19차점,커피,1000,금천구,F
145,145,해피플레이스,아메리카노,1000,금천구,P
